esp32acc:::SENSE,001,a,42501,2020-12-17T09:49:27.783757000+02:00,116.00,-52.00,-4152.00:::00:00:01.697465
esp32acc:::SENSE,001,a,42503,2020-12-17T09:49:27.803808000+02:00,116.00,-64.00,-4136.00:::00:00:01.703407
esp32mag:::SENSE,001,m,42502,2020-12-17T09:49:27.802667000+02:00,411.00,264.00,-309.00:::00:00:01.703407
esp32acc:::SENSE,001,a,42504,2020-12-17T09:49:27.823673000+02:00,112.00,-52.00,-4148.00:::00:00:01.703407
esp32mag:::SENSE,001,m,42505,2020-12-17T09:49:27.832317000+02:00,405.00,264.00,-309.00:::00:00:01.708446
esp32acc:::SENSE,001,a,42506,2020-12-17T09:49:27.843490000+02:00,128.00,-52.00,-4136.00:::00:00:01.719417
esp32acc:::SENSE,001,a,42508,2020-12-17T09:49:27.864194000+02:00,120.00,-56.00,-4148.00:::00:00:01.730376
esp32mag:::SENSE,001,m,42507,2020-12-17T09:49:27.862705000+02:00,411.00,258.00,-296.00:::00:00:01.736372
esp32acc:::SENSE,001,a,42509,2020-12-17T09:49:27.883699000+02:00,116.00,-48.00,-4156.00:::00:00:01.742308
esp32mag:::SENSE,001,m,42510,2020-12-17T09:49:27.892548000+02:00,411.00,258.00,-296.00:::00:00:01.747347
esp32acc:::SENSE,001,a,42511,2020-12-17T09:49:27.903543000+02:00,116.00,-52.00,-4140.00:::00:00:01.753314
esp32acc:::SENSE,001,a,42513,2020-12-17T09:49:27.924290000+02:00,116.00,-52.00,-4144.00:::00:00:01.759297
esp32mag:::SENSE,001,m,42512,2020-12-17T09:49:27.922713000+02:00,411.00,270.00,-296.00:::00:00:01.765245
esp32acc:::SENSE,001,a,42514,2020-12-17T09:49:27.943695000+02:00,112.00,-52.00,-4140.00:::00:00:01.770267
esp32mag:::SENSE,001,m,42515,2020-12-17T09:49:27.952302000+02:00,411.00,270.00,-296.00:::00:00:01.776261
esp32acc:::SENSE,001,a,42516,2020-12-17T09:49:27.963686000+02:00,112.00,-64.00,-4132.00:::00:00:01.776261
esp32acc:::SENSE,001,a,42518,2020-12-17T09:49:27.984565000+02:00,124.00,-36.00,-4152.00:::00:00:01.782234
esp32mag:::SENSE,001,m,42517,2020-12-17T09:49:27.982701000+02:00,405.00,270.00,-309.00:::00:00:01.793229
esp32acc:::SENSE,001,a,42519,2020-12-17T09:49:28.3687000+02:00,120.00,-56.00,-4140.00:::00:00:01.799150
